sitename,Address,firstComplaint,lastComplaint,NumOfComplaints,NumOfCleanups,NumOfEncampments,NumOfCamps,NumOfOutreachContacted,NumOfOutreachReferred,MapLatitude,MapLongitude,TargetDate,CleanupScheduledOrCompleteDate,CleanupStatus,CleanupID,CleanupSiteCondition,ComplaintSiteCondition,InspectionSiteCondition,OutreachSiteCondition,PoliceSiteCondition,MaintenanceSiteCondition,InventoryInfo,Documents,EncampmentStatus
1405 Dexter Ave N (behind bldg on Lee St),"1405 Dexter Ave N, Seattle, WA 98109, USA",3/30/2016,3/30/2016,1,1,0,1,0,0,47.6317505,-122.342699,4/20/2016,4/26/2016,C,4642,"2 Personal Property Recovered, 1 Number of People, 1 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 2 Rats / Mice, 2 Hazardous Materials, 2 Fires, 2 Criminal Activity, 2 Weapons, 2 Alcohol / Drugs, 2 Property Damage, ","4 Number of Structures, 1 Garbage / Litter, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Leary Way NW Triangle @ 3rd Ave NW,"3rd Ave NW & Leary Way NW, Seattle, WA 98107, USA",3/30/2016,3/30/2016,1,1,0,1,0,0,47.6548512,-122.3607193,4/20/2016,4/12/2016,C,4643,,"1 Number of Structures, 1 Number of Vehicles, 1 Garbage / Litter, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Woodland Park,"1000 N 50th St, Seattle, WA 98103, USA",9/7/2011,8/16/2018,31,18,4,14,9,9,47.666818,-122.3440719,4/21/2016,4/1/2016,C,4644,,"5 Number of People, 1 Garbage / Litter, 1 Garbage / Litter, ","5 Number of People, 1 Number of Structures, ",,,"2 Garbage / Litter, 2 Human Waste, 2 Rats / Mice, 2 Hazardous Materials, 2 Fires, 2 Criminal Activity, 2 Weapons, 2 Alcohol / Drugs, 2 Property Damage, 2 Personal Property Recovered, ",,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
E Union & Broadway (Sidewalk),"1400 Broadway, Seattle, WA 98122, USA",3/31/2016,6/27/2018,3,3,0,3,0,0,47.61313533,-122.3205687,4/21/2016,4/26/2016,C,4645,,"1 Number of Structures, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Greenbelt at Galer St & Aurora Ave N,"699 Galer St, Seattle, WA 98109, USA",3/31/2016,10/1/2017,5,2,0,2,1,1,47.6322777,-122.3428872,4/21/2016,6/1/2017,C,4646,,"1 Number of Structures, 1 Garbage / Litter, 10 Number of Structures, 1 Garbage / Litter, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
16th Ave W & Ship Canal Trail,"16th Avenue West & South Ship Canal Trail, Seattle, WA 98119, USA",7/20/2015,3/31/2016,2,2,0,2,2,2,47.6540252,-122.378206,4/21/2016,4/27/2016,C,4647,,"1 Garbage / Litter, 1 Criminal Activity, 1 Alcohol / Drugs, 1 Property Damage, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Wetlands SE of 7530 2nd Ave SW,"7530 2nd Ave SW, Seattle, WA 98106, USA",3/31/2016,5/23/2018,4,2,1,1,1,1,47.5343981,-122.3367876,4/21/2016,4/6/2017,C,4648,,"3 Number of Structures, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
1115 N 93rd St,"1115 N 93rd St, Seattle, WA 98103, USA",4/1/2016,4/1/2016,1,1,0,1,0,0,47.6961515,-122.3437351,4/22/2016,10/14/2016,C,4649,,"1 Garbage / Litter, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Golden Gardens - Northern Tip,"8700 Golden Gardens Dr NW, Seattle, WA 98117, USA",4/1/2016,2/26/2018,7,4,2,2,1,1,47.697853,-122.401978,4/22/2016,4/1/2016,C,4650,,"1 Garbage / Litter, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Encampment
Melrose Connector Trail (Bellevue Ct E & Bellevue Pl E),"1027 Bellevue Ct E, Seattle, WA 98102, USA",4/1/2016,3/6/2017,4,1,0,1,1,1,47.62708592,-122.3274582,4/22/2016,8/3/2016,C,4651,,"1 Garbage / Litter, 1 Criminal Activity, 1 Number of Structures, 1 Garbage / Litter, 3 Number of Structures, 1 Garbage / Litter, ","2 Number of People, 2 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 2 Hazardous Materials, 2 Fires, 2 Criminal Activity, 1 Alcohol / Drugs, ","1 Males Contacted, 1 Females Contacted, ",,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
37th Pl NW & Seaview Ave NW,"Seaview Avenue Northwest & 37th Place Northwest, Seattle, WA 98107, USA",2/24/2015,11/8/2018,27,11,1,10,3,3,47.6720139,-122.4053205,4/22/2016,4/12/2016,C,4652,"2 Number of People, 1 Number of Structures, 1 Garbage / Litter, 2 Human Waste, 2 Rats / Mice, 2 Hazardous Materials, 2 Fires, 2 Criminal Activity, 2 Weapons, 2 Alcohol / Drugs, 2 Property Damage, ","3 Number of People, 3 Number of Structures, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
800 block S Jackson Street,800 block S Jackson Street,5/19/2011,4/13/2017,5,4,2,2,2,2,47.60002857,-122.3211336,4/22/2016,6/2/2016,C,4653,"10 Number of People, 8 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 1 Hazardous Materials, 1 Alcohol / Drugs, 1 Property Damage, ","10 Number of Structures, 1 Garbage / Litter, ","10 Number of People, 8 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 1 Hazardous Materials, 1 Criminal Activity, 1 Alcohol / Drugs, 1 Property Damage, ","6 Males Contacted, 4 Females Contacted, ",,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Encampment
Ballard Locks Park Hillside,"5300 34th Ave NW, Seattle, WA 98107, USA",12/30/2015,3/17/2017,8,4,2,2,2,2,47.66717544,-122.4010881,4/22/2016,4/18/2016,C,4654,"4 Number of People, 2 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 2 Rats / Mice, 1 Hazardous Materials, 2 Fires, ","6 Number of Structures, ","6 Number of People, 6 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 2 Rats / Mice, 1 Hazardous Materials, 1 Fires, ","5 Males Contacted, 2 Number of Shelter Referrals (Male), 1 Females Contacted, ",,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Encampment
Ballard Locks Across from 3244 NW 54th St,"3241 NW 54th St, Seattle, WA 98107, USA",9/15/2015,1/13/2017,7,4,1,3,2,2,47.6674342,-122.3997569,4/22/2016,4/18/2016,C,4655,"6 Number of People, 6 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 2 Rats / Mice, 1 Hazardous Materials, 2 Property Damage, ","2 Number of People, 2 Number of Structures, 2 Garbage / Litter, 1 Alcohol / Drugs, 7 Number of Structures, ","6 Number of People, 6 Number of Structures, ","4 Males Contacted, 1 Females Contacted, ",,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Encampment
1st Ave N & John St,"103 John Street, Seattle, WA 98109, USA",7/18/2014,6/16/2016,3,3,0,3,2,2,47.61981481,-122.3552955,4/22/2016,4/20/2016,C,4656,,"1 Number of People, 1 Garbage / Litter, 1 Alcohol / Drugs, ","1 Number of Structures, 1 Garbage / Litter, 2 Human Waste, 2 Rats / Mice, 2 Hazardous Materials, 2 Criminal Activity, 2 Weapons, 2 Alcohol / Drugs, 2 Property Damage, ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Green Lake - N 70th & Aurora Ave N,"7201 E Green Lake Dr N, Seattle, WA 98115, USA",6/13/2012,7/27/2018,8,6,0,6,0,0,47.6830536,-122.3402896,4/22/2016,4/2/2016,C,4657,,"1 Garbage / Litter, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Industrial Way ROW (near 6th Ave S),"491 S Industrial Way, Seattle, WA 98134, USA",4/4/2016,10/1/2018,5,3,1,2,1,1,47.5673035,-122.3277921,4/25/2016,5/25/2017,C,4658,,"1 Garbage / Litter, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
6317 California Ave SW,"Seattle, WA",4/4/2016,10/19/2017,2,2,0,2,0,1,47.605078,-122.329974,4/25/2016,9/1/2016,C,4659,,"1 Number of Structures, 7 Number of Vehicles, 1 Garbage / Litter, 2 Fires, ","1 Number of People, 1 Garbage / Litter, 2 Human Waste, 2 Rats / Mice, 2 Hazardous Materials, 2 Fires, 2 Criminal Activity, 2 Weapons, 2 Alcohol / Drugs, 1 Property Damage, ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Greenwood Park,"8809 Fremont Ave N, Seattle, WA 98103, USA",2/16/2016,7/2/2018,8,7,4,3,0,0,47.693142,-122.350248,4/25/2016,4/5/2016,C,4660,,"2 Number of People, 1 Number of Vehicles, ","1 Number of People, 1 Number of Vehicles, 1 Garbage / Litter, ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Encampment
6th Ave S & Holgate St,"1762 6th Ave S, seattle, wa",7/20/2011,7/22/2016,9,7,3,4,10,10,47.5861569,-122.3259681,4/25/2016,5/20/2016,C,4661,"2 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 1 Rats / Mice, 1 Alcohol / Drugs, ","1 Number of People, 2 Number of Structures, 2 Number of Structures, 9 Number of Vehicles, 1 Garbage / Litter, 1 Garbage / Litter, 1 Hazardous Materials, ","2 Number of People, 2 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 1 Rats / Mice, 1 Alcohol / Drugs, ","2 Males Contacted, ",,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
5806 37TH PL NW,"5806 37th Pl NW, Seattle, WA 98107, USA",4/5/2016,2/13/2018,9,5,0,5,0,0,47.67456183,-122.4050451,4/26/2016,4/5/2016,C,4662,,"1 Number of People, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
4th Ave S & Edgar Martinez Dr S,"1200 4th Ave S, Seattle, WA 98134, USA",4/7/2010,9/6/2018,18,17,7,10,22,22,47.59092064,-122.3292483,4/26/2016,4/8/2016,C,4663,"4 Number of People, 3 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 1 Fires, 1 Alcohol / Drugs, ","1 Garbage / Litter, ","4 Number of People, 3 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 2 Rats / Mice, 2 Hazardous Materials, 1 Fires, 1 Alcohol / Drugs, 2 Property Damage, ","3 Males Contacted, 1 Females Contacted, 3 Males Contacted, 1 Females Contacted, ","2 Weapons, ",,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Encampment
NW Ballard Way and 11th Ave NW,"Seattle, WA",4/5/2016,4/5/2016,1,1,0,1,0,0,47.605078,-122.329974,4/26/2016,4/5/2015,C,4664,,"1 Number of People, 1 Garbage / Litter, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
400 S Massachusetts Street,"400 S Massachusetts St, Seattle, WA 98134, USA",12/30/2009,6/18/2018,6,4,1,3,0,0,47.5882604,-122.32897,4/26/2016,4/27/2016,C,4665,,"1 Garbage / Litter, 1 Human Waste, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
I-5 NE 47th St NB On-Ramp (grassy area),"4705 7th Ave NE, Seattle, WA 98105, USA",12/16/2015,1/10/2018,10,3,3,0,2,2,47.6631962,-122.3207264,4/27/2016,3/17/2017,C,4666,,"1 Number of Structures, 8 Number of People, 3 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 1 Rats / Mice, 1 Fires, 1 Garbage / Litter, 1 Garbage / Litter, ","3 Number of People, 4 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 2 Rats / Mice, 1 Hazardous Materials, 1 Fires, 2 Criminal Activity, 2 Weapons, 1 Alcohol / Drugs, 2 Property Damage, 2 Encampment Premium (Parks), ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Encampment
3rd Ave S & S Royal Brougham Way,"3rd Avenue South & South Royal Brougham Way, Mariners Team Store, Seattle, WA 98134, USA",12/3/2013,6/14/2018,13,13,3,10,21,21,47.5916997,-122.330023,4/27/2016,4/7/2016,C,4667,"2 Personal Property Recovered, 6 Number of People, 6 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 1 Hazardous Materials, 1 Fires, 1 Alcohol / Drugs, 1 Property Damage, ","1 Garbage / Litter, 1 Alcohol / Drugs, ","6 Number of People, 6 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 1 Rats / Mice, 1 Hazardous Materials, 1 Fires, 1 Alcohol / Drugs, 1 Property Damage, ","4 Males Contacted, 1 Number of Shelter Referrals (Male), 1 Females Contacted, 4 Males Contacted, 1 Number of Shelter Referrals (Male), 1 Females Contacted, ",,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Encampment
1906 9th Ave @ Stewart,"1906 9th Ave, Seattle, WA 98101, USA",4/8/2016,9/27/2017,2,2,1,1,0,0,47.6159013,-122.3348756,4/29/2016,4/26/2016,C,4668,,"1 Garbage / Litter, 1 Criminal Activity, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
624 Yale,"624 Yale Ave N, Seattle, WA 98109, USA",4/8/2016,4/8/2016,1,1,0,1,0,0,47.624918,-122.330422,4/29/2016,6/9/2016,C,4669,,,,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
SOUTH SHIP CANAL TRAIL,"23 South Ship Canal Trail, Seattle, WA 98119, USA",2/19/2016,3/20/2018,5,3,1,2,1,1,47.655204,-122.3762387,5/2/2016,9/21/2016,C,4670,"1 Garbage / Litter, 1 Human Waste, 1 Alcohol / Drugs, ","3 Number of Structures, 1 Property Damage, 2 Number of Structures, 10 Number of Structures, 1 Garbage / Litter, 1 Criminal Activity, ","1 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 1 Alcohol / Drugs, ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Duwamish Head Greenbelt,"Seattle, WA, USA",3/9/2012,4/1/2018,10,5,2,3,4,4,47.58515237,-122.3773098,5/2/2016,2/23/2018,C,4671,,"1 Garbage / Litter, 4 Number of People, 3 Number of Structures, 4 Number of Structures, 1 Human Waste, 3 Number of Structures, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
6622 E Greenlake Way N - Green Lake Park,"6622 East Green Lake Way N, Seattle, WA 98103, USA",4/11/2016,4/11/2016,1,1,0,1,0,0,47.67960902,-122.3304138,5/2/2016,4/12/2016,C,4672,,,"2 Number of Structures, ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
6508 E Greenlake Way N - Green Lake Park,"6508 East Green Lake Way N, Seattle, WA 98103, USA",4/11/2016,10/5/2016,2,2,0,2,0,0,47.6762469,-122.332152,5/2/2016,4/13/2016,C,4673,,"1 Number of Structures, ","1 Number of Structures, ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
14th Ave W & W Galer St,"1476 Elliott Ave W, Seattle, WA 98119",6/6/2013,1/24/2018,7,6,2,4,6,6,47.63223377,-122.3740375,5/3/2016,4/26/2016,C,4674,"1 Garbage / Litter, 2 Human Waste, 2 Rats / Mice, 2 Hazardous Materials, 2 Fires, 2 Criminal Activity, 2 Weapons, 2 Alcohol / Drugs, 2 Property Damage, ","4 Number of Structures, ","2 Number of Structures, 1 Garbage / Litter, 2 Human Waste, 2 Rats / Mice, 2 Hazardous Materials, 2 Fires, 2 Criminal Activity, 2 Weapons, 2 Alcohol / Drugs, ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
15th Ave NW and Leary Way NW - under Ballard Bridge,"15th Ave NW & NW Leary Way, Seattle, WA 98107, USA",1/24/2012,2/6/2018,24,17,2,15,12,13,47.6636651,-122.3764092,5/3/2016,4/12/2016,C,4675,,"2 Number of Structures, 1 Garbage / Litter, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
5806 37TH PL NW,"5806 37th Pl NW, Seattle, WA 98107, USA",4/5/2016,2/13/2018,9,5,0,5,0,0,47.67456183,-122.4050451,5/3/2016,12/23/2016,C,4676,,"2 Number of People, 1 Number of Structures, 1 Number of Structures, 2 Number of Structures, 1 Garbage / Litter, 1 Property Damage, 1 Number of Structures, ","2 Garbage / Litter, 2 Human Waste, 2 Rats / Mice, 2 Hazardous Materials, 2 Fires, 2 Criminal Activity, 2 Weapons, 2 Alcohol / Drugs, 2 Property Damage, 2 Encampment Premium (Parks), ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
I-90 off ramp Exit 3A,"1307 Rainier Avenue South, Seattle, WA 98144, USA",10/2/2014,10/13/2017,17,6,3,3,4,4,47.5909747,-122.3078581,5/3/2016,9/20/2016,C,4677,"19 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 1 Hazardous Materials, 1 Fires, 1 Alcohol / Drugs, 1 Property Damage, ","10 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 20 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 1 Criminal Activity, 1 Property Damage, ","19 Number of Structures, ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Encampment
5th Ave NE & NE 42nd St,"5th Ave NE & NE 42nd St, Seattle, WA 98105, USA",4/13/2016,6/13/2018,4,4,1,3,1,1,47.6576824,-122.3234737,5/4/2016,6/30/2016,C,4678,,"1 Garbage / Litter, 1 Hazardous Materials, 1 Fires, 1 Criminal Activity, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Encampment
5565 23rd Ave S,"5565 23rd Ave S, Seattle, WA 98108, USA",4/13/2016,4/13/2016,1,1,0,1,0,0,47.551421,-122.304361,5/4/2016,8/24/2016,C,4679,,"1 Number of People, 1 Number of Vehicles, 1 Garbage / Litter, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Under BNSF Railroad Bridge @ NW 57th St,"NW 57th St & 37th Pl NW, Seattle, WA 98107, USA",3/7/2016,4/13/2016,2,2,0,2,0,0,47.6704655,-122.4039666,5/4/2016,4/11/2016,C,4680,,"1 Criminal Activity, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
I-5 NB onramp at Denny Way,"1300 Eastlake Avenue East, Seattle, WA 98109, USA",7/31/2013,8/24/2016,7,4,1,3,4,4,47.62002084,-122.3278928,5/4/2016,5/25/2017,C,4681,,"1 Garbage / Litter, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Queen Anne Greenbelt,"1254 Elliott Avenue West, Seattle, WA 98119, USA",3/15/2013,5/1/2018,26,7,3,4,11,11,47.62965259,-122.3699284,5/4/2016,7/14/2017,C,4682,,"2 Number of Structures, 1 Number of Structures, 1 Garbage / Litter, 4 Number of Structures, 1 Garbage / Litter, 1 Hazardous Materials, 1 Garbage / Litter, ","1 Number of Structures, 2 Garbage / Litter, 2 Human Waste, 2 Rats / Mice, 2 Hazardous Materials, 2 Fires, 2 Criminal Activity, 2 Weapons, 2 Alcohol / Drugs, 2 Property Damage, ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
NE 116th St & 3rd Ave NE,"3rd Avenue Northeast & Northeast 116th Street, Seattle, WA 98125, USA",10/17/2014,7/16/2018,6,6,0,6,1,1,47.7131725,-122.3260568,5/4/2016,5/12/2016,C,4683,,"3 Number of People, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Ballard Commons Park (Sidewalk),"5701 22nd Avenue Northwest, Seattle, WA 98107, USA",6/1/2015,7/2/2018,14,7,2,5,2,2,47.67081891,-122.3852783,5/4/2016,3/23/2017,C,4684,,"1 Garbage / Litter, 5 Number of Structures, 1 Garbage / Litter, 1 Criminal Activity, 1 Alcohol / Drugs, 3 Number of Structures, 1 Garbage / Litter, ","1 Garbage / Litter, 2 Human Waste, 1 Alcohol / Drugs, ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
4713 14TH AVE NW,"4713 14th Ave NW, Seattle, WA 98107, USA",4/13/2016,8/14/2017,2,2,0,2,0,0,47.6630324,-122.3735498,5/4/2016,12/23/2016,C,4685,,"3 Number of People, 1 Number of Structures, 1 Garbage / Litter, ","2 Garbage / Litter, 2 Human Waste, 2 Rats / Mice, 2 Hazardous Materials, 2 Fires, 2 Criminal Activity, 2 Weapons, 2 Alcohol / Drugs, 2 Property Damage, 2 Encampment Premium (Parks), ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Rodgers Park,"22 W Raye St, Seattle, WA 98119, USA",4/13/2016,10/1/2017,2,1,0,1,0,0,47.643437,-122.358008,5/4/2016,NULL,O,4686,,"1 Number of People, 2 Number of People, 2 Number of Structures, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
14323 15TH AVE NE,"14323 15th Ave NE, Seattle, WA 98125, USA",4/13/2016,8/23/2017,4,4,0,4,0,0,47.7332849,-122.3127626,5/4/2016,5/20/2016,C,4687,,"3 Number of People, 1 Garbage / Litter, 1 Rats / Mice, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
8845 17th Ave SW,"8845 17th Ave SW, Seattle, WA 98106, USA",4/14/2016,4/14/2016,1,1,0,1,0,0,47.523286,-122.356828,5/5/2016,6/1/2016,C,4688,,"1 Number of Vehicles, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
NE Queen Anne Greenbelt,"1920 Taylor Ave N, Seattle, WA 98109, USA",4/30/2008,3/16/2018,23,14,8,6,18,19,47.63584143,-122.3441792,5/5/2016,6/1/2017,C,4689,"1 Personal Property Recovered, 25 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 1 Rats / Mice, 1 Hazardous Materials, 1 Fires, 1 Criminal Activity, 1 Alcohol / Drugs, 1 Property Damage, ","5 Number of Structures, 1 Garbage / Litter, 1 Fires, 1 Alcohol / Drugs, 3 Number of Structures, 10 Number of Structures, 1 Garbage / Litter, 1 Alcohol / Drugs, ","10 Number of People, 31 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 1 Rats / Mice, 1 Hazardous Materials, 1 Fires, 1 Criminal Activity, 1 Alcohol / Drugs, 1 Property Damage, 1 Encampment Premium (Parks), ",,,"1 Hazardous Materials, 1 Alcohol / Drugs, 16 Number of People, 11 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 1 Rats / Mice, 1 Criminal Activity, 1 Alcohol / Drugs, ",,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Encampment
E Harrison St & Broadway Ave E,"Broadway E & E Harrison St, Seattle, WA 98102, USA",4/14/2016,4/14/2016,1,1,0,1,0,0,47.6219914,-122.3209096,5/5/2016,8/22/2016,C,4690,,"1 Garbage / Litter, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Western & Bell under Viaduct,"Western Ave & Bell St, Seattle, WA 98121, USA",12/5/2013,4/15/2018,14,9,3,6,7,8,47.6127054,-122.3474372,5/5/2016,4/25/2016,C,4691,"6 Number of People, 6 Number of Structures, 1 Garbage / Litter, 1 Fires, ","4 Number of Structures, 1 Garbage / Litter, 1 Alcohol / Drugs, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Encampment
Colorado Ave S & S Atlantic St,"S Atlantic St & Colorado Ave S, Seattle, WA 98134, USA",4/14/2016,4/14/2016,1,1,0,1,1,1,47.5903961,-122.3365969,5/5/2016,5/9/2016,C,4692,"3 Number of People, 2 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 1 Alcohol / Drugs, ","1 Number of People, ","2 Number of People, 2 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 1 Alcohol / Drugs, ","1 Males Contacted, 2 Females Contacted, ",,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
633 W Mercer PL,"633 W Mercer Pl, Seattle, WA 98119, USA",4/14/2016,4/14/2016,1,1,0,1,0,0,47.62571885,-122.3658688,5/5/2016,8/23/2016,C,4693,,"2 Number of People, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
5th & Yesler,"Yesler Way & 5th Ave, Seattle, WA 98104, USA",11/1/2010,3/5/2018,7,5,1,4,1,1,47.6017876,-122.327393,5/5/2016,4/25/2016,C,4694,"1 Number of People, 1 Number of Structures, 1 Garbage / Litter, ","1 Number of Structures, 1 Garbage / Litter, 1 Human Waste, ","1 Number of People, 1 Number of Structures, ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
6675 E Green Lake Way N - Green Lake Park,"6675 East Green Lake Way N, Seattle, WA 98115, USA",4/14/2016,5/23/2018,2,2,0,2,0,0,47.67841,-122.3303483,5/5/2016,4/15/2016,C,4695,,,"1 Number of Structures, ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
1417 Belmont Ave,"1417 Belmont Ave, Seattle, WA 98122, USA",4/14/2016,4/14/2016,1,1,0,1,0,0,47.613534,-122.324777,5/5/2016,8/22/2016,C,4696,,,,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
37th Pl NW & Seaview Ave NW,"Seaview Avenue Northwest & 37th Place Northwest, Seattle, WA 98107, USA",2/24/2015,11/8/2018,27,11,1,10,3,3,47.6720139,-122.4053205,5/5/2016,10/6/2016,C,4697,,"2 Number of Structures, 1 Number of People, 1 Number of Structures, 3 Number of Structures, 1 Garbage / Litter, ","1 Garbage / Litter, 2 Human Waste, 2 Rats / Mice, 2 Hazardous Materials, 2 Fires, 2 Criminal Activity, 2 Weapons, 2 Alcohol / Drugs, 2 Property Damage, 2 Encampment Premium (Parks), ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
400 Broadway E (Doorway),"400 Broadway E, Seattle, WA 98102, USA",11/24/2015,4/14/2016,2,2,0,2,0,0,47.6221129,-122.3205619,5/5/2016,5/17/2016,C,4698,,"1 Garbage / Litter, 1 Criminal Activity, 1 Alcohol / Drugs, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
1140 NW Ballard Way,"3800 15th Ave W, Seattle, WA 98119, USA",2/20/2015,4/14/2016,2,2,0,2,2,2,47.6504034,-122.3762506,5/5/2016,4/27/2016,C,4699,,"1 Number of People, 1 Number of Structures, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
