Posting Date,Removal Date,Location ,If postponed? ,Storage (# of bins),Tonnage,Needles,Tent Count,Construction Posting,Comments 
Obstruction,7/7/2022,Woodland Park Shelter-7,No ,0,100,0,1-bedroll,N/A,Bill completed obstruction-Verbal Compliance 
Obstruction,7/8/2022,Occidental Park ,No ,0,25,0,1-tent (7-bedrolls),N/A,Kareem Completed Obstruction
Obstruction,7/8/2022,3rd & Cherry ,No ,0,0,0,4-tents,N/A,
Obstruction,7/8/2022,6th & Cherry ,No ,0,0,0,1-tent ,N/A,
Obstruction,7/9/2022,Ballard Library ,No ,0,25,0,2-Tents ,N/A,Bill and James- completed obstruction- verbal compliance 
Obstruction,7/9/2022,Lower Kinnear Park ,No ,0,300,0,2-Tents ,N/A,Bill and James- completed obstruction- verbal compliance 
Obstruction,7/9/2022,3rd & Cherry ,No ,0,150,0,4-Tents ,N/A,Bill and James- completed obstruction- verbal compliance 
Obstruction,7/9/2022,Woodland Park Shelter-6,No ,0,30,0,1-Tent ,N/A,Bill and James- completed obstruction- verbal compliance 
7/9/2022,7/11/2022,Eastlake Ave E & E Denny Way Vicinity,No ,,,,,N/A,Todd completed removal- need data 
Obstruction,7/12/2022,Ballard Library ,No ,0,100,0,3-Tents,N/A,Bill completed obstruction-Verbal Compliance 
Obstruction,7/12/2022,Albert Davis ,No ,0,0,0,1-bedroll,N/A,Bill completed obstruction-Verbal Compliance 
Obstruction,7/12/2022,Jackson Golf ,No ,0,0,0,1-bedroll,N/A,Bill completed obstruction-Verbal Compliance 
Obstruction,7/12/2022,3rd & James ,No ,0,50,0,2-tents (4-bedrolls),N/A,Kwame completed obstruction 
Obstruction,7/12/2022,6th & Cherry ,No ,0,45,5,3-Tents,N/A,Kwame completed obstruction 
Obstruction,7/12/2022,Pratt Park ,No ,0,40,0,2-Tents,N/A,Kwame completed obstruction 
Obstruction,7/12/2022,Occidental Park ,No ,0,0,0,2-Tents (5-bedrolls),N/A,Kareem Posted for removal 
Obstruction,7/12/2022,Pioneer Square ,No ,0,0,0,1-tent ,N/A,Kareem Posted for removal 
7/12/2022,7/14/2022,4400-4500 Beacon Ave S (Jefferson Golf),No ,0,"19,000",50,"9-Tents, 3-Struc. (7-RV's)",N/A,Kareem Posted for removal / Kareem and Kwame completed removal 
Obstruction,7/14/2022,Ballard Library ,No ,0,20,0,1-tent,N/A,Bill and James- completed obstruction- verbal compliance 
Obstruction,7/14/2022,3rd Ave from Cherry to James ,No ,0,40,0,3-tents,N/A,Bill and James- completed obstruction- verbal compliance 
Obstruction,7/14/2022,Columbia St to Jefferson St and from 7th Ave to 6th Ave ,No ,0,25,0,3-tents,N/A,Bill and James- completed obstruction- verbal compliance 
Obstruction,7/14/2022,Occidental Park ,No ,0,30,0,1-bedroll,N/A,Bill and James- completed obstruction- verbal compliance 
Obstruction,7/15/2022,Pinehurst Playground ,No ,0,200,0,1-Tent ,N/A,Bill completed obstruction-Verbal Compliance 
Obstruction,7/15/2022,Evans Pool (Greenlake) ,No ,0,25,0,2-(bedroll) ,N/A,Kareem Completed Obstruction- voluntary compliance 
Obstruction,7/15/2022,Victor Steinbrueck Park ,No ,0,10,0,1-Tent ,N/A,Kwame completed obstruction-verbal compliance 
Obstruction,7/15/2022,Occidental Park ,No ,0,100,0,2 (bedrolls) ,N/A,Kwame completed obstruction-verbal compliance 
Obstruction,7/15/2022,3rd Ave from Cherry to James ,No ,3,25,0,3-Tents,N/A,Kwame completed obstruction-verbal compliance 
Obstruction,7/15/2022,6th & Cherry ,No ,0,20,0,1-tent (1-bedroll),N/A,Kwame completed obstruction-verbal compliance 
Obstruction,7/15/2022,8th & King ,No ,0,20,0,1-struc,N/A,Kwame completed obstruction-verbal compliance 
Obstruction,7/18/2022,Occidental Park ,No ,0,100,5,1-struc (4-bedrolls),N/A,Karem completed obstruction 
Obstruction,7/18/2022,Cal Anderson,No ,0,0,0,2-Tents ,N/A,Kareem Completed Obstruction- voluntary compliance 
Obstruction,7/18/2022,Dr. Blanche Lavizzo ,No ,0,0,0,1-Tent,N/A,Kareem Completed Obstruction- voluntary compliance 
Obstruction,7/18/2022,10th & Dearborn ,No ,0,100,100,2-tents,N/A,Kareem Completed Obstruction- voluntary compliance 
Obstruction,7/18/2022,3rd Ave from Cherry to James ,No ,0,80,0,4-tents ,N/A,Kwame completed obstruction-verbal compliance 
Obstruction,7/18/2022,6th & Cherry ,No ,0,0,0,1-tent ,N/A,Kwame completed obstruction 
Obstruction,7/18/2022,Ballard Commons ,No ,0,30,0,1-tent ,N/A,Bill completed obstruction-Verbal Compliance 
Obstruction,7/18/2022,Woodland Park Shelter-5,No ,0,0,0,1-tent,N/A,Bill completed obstruction-Verbal Compliance 
Obstruction,7/18/2022,Woodland Park Shelter-7,No ,0,0,0,1-tent,N/A,Bill completed obstruction-Verbal Compliance 
7/15/2022,7/19/2022,15th Ave W (RV),No ,0,"4,020",100,"2-Tents, (6-RV's) ",N/A,Bill posted for removal/ Bill completed removal 
7/15/2022,7/19/2022,Genesee Park ,No ,0,25,0,1-abandoned tent ,N/A,Kareem Posted for removal-Kareem completed removal 
Obstruction,7/19/2022,36th & Adams ,No ,0,"1,500",0,"No-tents, 3-RV's, 1-van",N/A,Kareem Completed Obstruction- voluntary compliance 
Obstruction,7/19/2022,Jackson Golf ,No ,0,100,0,1-tent (2-bedrolls),N/A,Kareem Completed Obstruction- voluntary compliance 
Obstruction,7/19/2022,Poplar Pl S & S Dearborn ,No ,0,"1,800",0,1-Structure,N/A,Kareem Completed Obstruction- voluntary compliance 
Obstruction,7/19/2022,3rd Ave from Cherry to James ,No ,0,2,0,2-tents,N/A,Kareem Completed Obstruction- voluntary compliance 
Obstruction,7/19/2022,6th & Cherry ,No ,0,0,0,2-tents ,N/A,Kwame completed obstruction-verbal compliance 
Obstruction,7/19/2022,Myrtle Edwards ,No ,0,0,0,1-bedroll,N/A,Kwame completed obstruction-verbal compliance 
Obstruction,7/19/2022,Occidental Park ,No ,0,10,0,1-structure ,N/A,Kwame completed obstruction-verbal compliance 
Obstruction,7/21/2022,Ballard Library ,No ,0,20,0,1-tent,N/A,Bill & James completed obstruction
Obstruction,7/21/2022,Leary Way NW from NW Leary Way to 9th Ave NW ,No ,0,10,0,1-tent,N/A,Bill & James completed obstruction
Obstruction,7/21/2022,Gilman Playground ,No ,0,225,12,1-tent,N/A,Bill & James completed obstruction
Obstruction,7/21/2022,GreenLake ,No ,1,10,0,1-tent,N/A,Bill & James completed obstruction
Obstruction,7/21/2022,Jackson Golf ,No ,0,150,0,1-tent,N/A,Bill & James completed obstruction
Obstruction,7/21/2022,McGraw Park ,No ,0,25,3,1-tent,N/A,Bill & James completed obstruction
Obstruction,7/21/2022,Occidental Park ,No ,0,50,0,6-bedrolls ,N/A,Kwame and Kareem completed obstruction
Obstruction,7/21/2022,Cal Anderson ,No ,0,25,0,2-tents,N/A,Kwame and Kareem completed obstruction
7/20/2022,7/22/2022,N 96th & N Aurora ,No ,1,"6,600",100,12-Tents ,N/A,Bill and James- completed removal/ Imani lead 
Obstruction,7/22/2022,Occidental Park ,No ,0,90,0,3-bedrolls,N/A,Kareem Completed Obstruction- voluntary compliance 
Obstruction,7/22/2022,Myrtle Edwards ,No ,1,10,0,1-tent ,N/A,Kareem Completed Obstruction- voluntary compliance 
Obstruction,7/22/2022,Pioneer Square Park ,No ,0,15,0,1-tent,N/A,Kareem Completed Obstruction- voluntary compliance 
7/22/2022,7/25/2022,Plymouth Pillars Park ,No ,0,N/A,N/A,N/A,N/A,"Bill completed removal. When he arrived there, it was clear (self resolved). "
Obstruction,7/25/2022,Albert Davis,No ,0,20,0,1-tent ,N/A,Bill completed obstruction-Verbal Compliance 
Obstruction,7/25/2022,Ballard Library,No ,0,35,0,1-tent ,N/A,Bill completed obstruction-Verbal Compliance 
Obstruction,7/25/2022,3rd & Cherry,No ,1,20,0,1-tent,N/A,Kwame completed obstruction-verbal compliance 
Obstruction,7/25/2022,6th & Cherry,No ,0,35,0,2-tents,N/A,Kwame completed obstruction-verbal compliance 
Obstruction,7/25/2022,Occidental Park,No ,0,20,0,1-tent,N/A,Kwame completed obstruction-verbal compliance 
Obstruction,7/25/2022,Cal Anderson,No ,1,5,0,1-tent ,N/A,Kareem Completed Obstruction- voluntary compliance 
Obstruction,7/25/2022,Pratt Park,No ,0,75,0,1-tent,N/A,Kareem Completed Obstruction- voluntary compliance 
Obstruction,7/25/2022,Broadway Hill Park,No ,0,150,5,3-bedrolls,N/A,Kareem Completed Obstruction- voluntary compliance 
Obstruction,7/25/2022,Denny Playfield,No ,0,15,0,1-tent ,N/A,Kwame completed obstruction-verbal compliance 
?,7/26/2022,3rd Ave S and S Walker St,No ,0,"18,000",50,2-tents and 4-Structures,N/A,Kareem completetd Removal 
?,7/27/2022,Woodland Park Zoo,No ,0,"2,000",10,2-tents,N/A,Bill Completed Removal 
?,8/1/2022,SW Juneau St & 26th Ave SW Vicinity ,No ,0,"45,400",0,2-tents and 2-Structures ,N/A,Kareem Posted and Completed Removal 
Obstruction,8/1/2022,Lakewood Park ,No ,3,50,10,1-tent,N/A,Kareem Completed Obstruction- voluntary compliance 
Obstruction,8/1/2022,Occidental Park ,No ,0,50,0,1-tent,N/A,Bill completed obstruction-Verbal Compliance 
Obstruction,8/1/2022,Mt. Baker ,No ,0,50,0,1-tent ,N/A,James completed obstruction 
Obstruction ,8/1/2022,3rd & Cherry ,No ,0,0,0,3-tents ,N/A,Bill completed obstruction-self resolved 
Obstrcution ,8/1/2022,6th & Cherry ,No ,0,0,0,2-tents,N/A,Bill completed obstrcution-self resolved 
?,8/2/2022,International District and I-5 Emphasis Area,No ,0,"16,000",50,2-Structures ,N/A,James Completed Removal 
?,8/2/2022,W Garfield St to W Galer St 15th Ave W to Alaska Way W ,No ,0,"1,720",0,3-tents ,N/A,Bill Completed Removal 
Obstrcution ,8/2/2022,Baker Park ,No ,N/A,N/A,N/A,N/A,N/A,"Bill was sent to complete obstruction and it was clear, when he arrived. "
Obstrcution ,8/2/2022,Ballard Library ,No ,0,25,0,1-tent ,N/A,Karmee completed obstruction-Voluntary Compliance 
Obstrcution ,8/2/2022,3rd & Cherry ,No ,0,25,0,1-tent ,N/A,Karmee completed obstruction-Voluntary Compliance 
Obstrcution ,8/2/2022,6th & Cherry ,No ,1,0,0,3-tents ,N/A,Kareem Completed Obstruction 
Obstrcution ,8/2/2022,Pratt Park ,No ,0,50,0,1-tent ,N/A,Karmee completed obstruction-Voluntary Compliance 
Obstrcution ,8/2/2022,Denny Blaine Park ,No ,1,50,0,1-tent ,N/A,Kareem Completed Obstruction 
8/1/2022,8/3/2022,Bellevue Pl Park ,No ,0,"6,140",100,"3-tents, 1-Structure",N/A,James Posted for Removal/ Kareem completed removal 
Obstrcution ,8/3/2022,Greenlake ,No ,0,50,0,1-tent ,N/A,Bill completed obstruction-voluntary compliance. The inviduale refused shelter. 
Obstrcution ,8/3/2022,Miller CC,No ,0,10,1,1-tent ,N/A,Kwame completed obstruction-verbal compliance 
Obstrcution ,8/3/2022,Judkins Park ,No ,1,0,45,3-tents ,N/A,Kwame completed obstruction-verbal compliance 
Obstrcution ,8/3/2022,6th & Cherry ,No ,0,5,0,1-tent ,N/A,Kwame completed  obstruction- verbal compliance 
Obstrcution ,8/3/2022,3rd & Cherry ,No ,0,15,0,1-tent ,N/A,Kwame completed  obstruction- verbal compliance 
Obstrcution ,8/3/2022,International District and I-5 Emphasis Area,No ,0,300,0,1-tent ,N/A,James completed obstruction 
Obstrcution ,8/3/2022,Cal Anderson,No ,0,0,0,1-tent ,N/A,Kareem completed obstruction-self resolved 
Obstrcution ,8/4/2022,6th & Cherry ,No ,0,20,0,3-tents ,N/A,Bill completed obstruction 
Obstrcution ,8/4/2022,Occidental Park,No ,0,20,0,2-bedrolls,N/A,Bill completed obstruction 
Obstrcution ,8/4/2022,Jackson Golf ,No ,0,120,0,3-bedrolls,N/A,Bill completed obstruction 
Obstrcution ,8/4/2022,Gilman Playground ,No ,0,150,0,2-tents ,N/A,Bill completed obstruction 
8/2/2022,8/4/2022,Belmont Ave E from E Olive Way to E Denny Way ,No ,1,"7,800",100,19-tents ,N/A,Kareem posted for removal/ Kareem completed removal 
Obstrcution ,8/5/2022,Woodland Park ,No ,0,30,0,2-tents,N/A,Bill completed obstruction 
Obstruction ,8/5/2022,Occidental Park,No ,0,20,0,1-tent ,N/A,Kwame completed obstruction 
Obstruction ,8/8/2022,Ballard Library ,No ,N/A,N/A,N/A,N/A,N/A,Bill completed obstrcution-self resolved 
8/5/2022,8/8/2022,Navigation Center Vicinity ,No ,0,"5,000",50,"9-tents, 4-structures",N/A,Kareem and James completed removal 
Obstruction ,8/8/2022,Woodland Park/ Shelter #1 ,No ,0,0,0,3,N/A,Kwame completed  obstruction- self resolved 
Obstruction ,8/8/2022,3rd & James,No ,N/A,N/A,N/A,N/A,N/A,Kwame completed  obstruction- verbal compliance 
Obstruction ,8/8/2022,6th & Cherry ,No ,0,5,0,2,N/A,Kwame completed  obstruction- verbal compliance 
Obstruction ,8/8/2022,Occidental Park ,No ,0,35,0,1,N/A,Kwame completed  obstruction- verbal compliance 
Obstruction,8/9/2022,Navigation Center Vicinity ,No ,0,0,0,3,N/A,Kareem Completed Obstruction-voluntary compliance 
Obstruction,8/9/2022,Poplar Pl S from S Dearborn St to S Bush Pl Vicinity ,No ,1,"1,500",100,3,N/A,Kareem Completed Obstruction -voluntary compliance 
Obstruction,8/9/2022,10th & Dearborn ,No ,0,100,25,5,N/A,Kareem Completed Obstruction-voluntary compliance 
Obstruction,8/9/2022,Ballard Library ,No ,N/A,N/A,N/A,0,N/A,Bill completed obstrcution-self resolved 
8/5/2022,8/9/2022,13500 & Erickson Pl NE (RVM),No ,0,250,0,1-tent ,N/A,James assisted SPU with RVM
Obstruction,8/9/2022,3rd & James ,No ,N/A,N/A,N/A,N/A,N/A,Kwame completed  obstruction- self resolved 
Obstruction,8/9/2022,6th & Cherry ,No ,0,10,0,2-tent ,N/A,Kwame completed  obstruction- verbal compliance 
Obstruction,8/9/2022,Occidental Park ,No ,0,15,0,1-tent ,N/A,Kwame completed  obstruction- verbal compliance 
Obstruction,8/9/2022,Cal Anderson,No ,"1-bin, 1-bike ",100,0,2-tents ,N/A,Kwame completed  obstruction- verbal compliance 
Obstruction,8/10/2022,Rainier Playfield ,No ,0,100,0,1-bedroll,N/A,Kareem Completed Obstruction 
Obstruction,8/10/2022,Ballard Library ,No ,N/A,N/A,N/A,3-bedrolls,N/A,Bill and James completed obstrcution-self resolved 
Obstruction,8/10/2022,Froula Park ,No ,0,250,0,1-tent ,N/A,Bill and James completed obstrcution-voluntary compliance 
Obstruction,8/10/2022,Seven Hills Park ,No ,N/A,N/A,N/A,N/A,N/A,Bill and James completed obstrcution-self resolved 
Obstruction,8/10/2022,6th & Cherry ,No ,0,50,20,2-tents ,N/A,Bill and James completed obstrcution-voluntary compliance 
8/8/2022,8/10/2022,West Crest Park ,No ,1,"20,000",100,8-tents-4 structures,N/A,Kwame posted and completed removal
Obstruction,8/10/2022,Navigation Center Vicinity ,No ,0,25,0,1-tent ,N/A,Kareem Completed Obstruction -voluntary compliance 
Obstruction,8/11/2022,6th & Cherry ,No ,0,20,0,1-tent ,N/A,James completed obstruction 
Obstruction,8/11/2022,Victor Steinbrueck ,No ,0,20,0,1-tent ,N/A,James completed obstruction 
Obstruction,8/11/2022,Poplar Pl S from S Dearborn St to S Bush Pl Vicinity ,No ,0,50,0,2-tents ,N/A,Kareem Completed Obstruction -voluntary compliance 
Obstruction,8/11/2022,10th & Dearbon ,No ,1,50,0,1-tent ,N/A,Kareem Completed Obstruction -voluntary compliance 
? ,8/11/2022,36th Ave S & S Adams St (RVM),No ,0,SPU has tonnage ,0,0-Tents -3-RV's and 3-Vehicals,N/A,Kareem assisted Shep at the removal. 
Obstruction,8/12/2022,Jackson Golf ,No ,0,50,0,clear ,N/A,Kwame completed  obstruction- self resolved 
Obstruction,8/12/2022,Green Lake ,No ,0,5,0,1-tent ,N/A,Kwame completed  obstruction- verbal compliance 
Obstruction,8/12/2022,109 Eastlake Ave E ,No ,0,"6,700",10,1-tent and 1-structure,N/A,Bill completed obstrcution-verbal compliance  
Obstruction,8/12/2022,3rd Ave btw James & Cherry ,No ,0,10,0,2-tents ,N/A,Kwame completed  obstruction- verbal compliance 
Obstruction,8/12/2022,6th & Cherry ,No ,0,10,0,1-tent ,N/A,Kwame completed  obstruction- verbal compliance 
Obstruction,8/12/2022,Navigation Center Vicinity ,No ,N/A,N/A,N/A,N/A,N/A,When Kwame arrived to complete obstruction-it was clear 
Obstruction,8/12/2022,Occidental Park ,No ,0,25,0,1-tent ,N/A,Kwame completed  obstruction- verbal compliance 
Obstruction,8/15/2022,Victor Steinbrueck ,No ,N/A,N/A,N/A,N/A,N/A,Bill completed obstrcution-self resolved 
Obstruction,8/15/2022,Lower Kinnear Park ,No ,N/A,N/A,N/A,N/A,N/A,Bill completed obstrcution-self resolved 
Obstruction,8/15/2022,Ballard Library ,No ,0,100,0,4-tents ,N/A,Bill and James completed obstrcution-voluntary compliance 
Obstruction,8/15/2022,Gilman Playground ,No ,0,100,0,2-tents ,N/A,Bill and James completed obstrcution-voluntary compliance 
8/12/2022,8/15/2022,Volunteer Park ,No ,0,500,0,2-tents ,N/A,James posted and completed removal 
Obstruction,8/15/2022,3rd Ave between Cherry and James ,No ,N/A,N/A,N/A,N/A,N/A,Kwame completed  obstruction- self resolved 
Obstruction,8/15/2022,6th & Cherry ,No ,0,50,0,1-tent ,N/A,Kwame completed  obstruction- verbal compliance 
Obstruction,8/15/2022,Navigation Center Vicinity ,No ,N/A,N/A,N/A,N/A,N/A,Kwame completed  obstruction- self resolved 
Obstruction,8/15/2022,Dearborn Ave & I-5 Vicinity ,No ,N/A,N/A,N/A,N/A,N/A,Kwame completed  obstruction- self resolved 
Obstruction,8/15/2022,S Lane St (10th & Dearborn),No ,0,"1,500",5,4-tents ,N/A,Kwame completed  obstruction- verbal compliance 
Obstruction,8/15/2022,Poplar Pl S from S Dearborn St to S Bush Pl Vicinity ,No ,1,25,25,1-tent ,N/A,Kwame completed  obstruction- verbal compliance 
8/12/2022,8/16/2022,4810 Denver Ave S ,No ,0,SPU has tonnage ,25,1-RV,N/A,Kwame Posted and will complete removal 
Obstruction,8/16/2022,Ballard Library ,No ,0,50,0,2-tents ,N/A,Bill completed obstrcution-verbal compliance  
Obstruction,8/16/2022,Baker Park ,No ,0,100,0,1-tent,N/A,Bill completed obstrcution-verbal compliance  
Obstruction,8/16/2022,Victor Steinbrueck ,No ,0,10,0,N/A,N/A,Bill completed obstrcution-self resolved 
Obstruction,8/16/2022,Occidental Park ,No ,0,0,0,1-tent and 1-bedroll,N/A,Bill completed obstrcution-verbal compliance  
Obstruction,8/16/2022,6th & Cherry ,No ,0,80,0,2-tents ,N/A,Bill completed obstrcution-verbal compliance  
Obstruction,8/16/2022,85th & Mary Ave ,No ,0,200,0,1-tent ,N/A,Bill completed obstrcution-verbal compliance  
8/12/2022,8/17/2022,N 125th and Interurban Trail (Southside),No ,0,"28,680","1,132","16-tents, 3-Structures ",N/A,Bill Posted and Completed Removal 
8/12/2022,8/18/2022,N 125th and Interurban Trail  (Northside) ,No ,0,"31,640",200,"16-tents, 3-Structures ",N/A,Bill Posted and Completed Removal-part 2 of removal 
8/16/2022,8/18/2022,Harbor Ave ,No ,0,"1,000",0,0,N/A,"Kwame Posted/ When FC Kwame arrived onsite the ten and Rv that were present when he posted were gone, when he arrived  back on the day of the removal. "
Obstruction,8/19/2022,Occidental Park ,No ,0,50,0,1-bedroll,N/A,Bill completed obstrcution-verbal compliance  
Obstruction,8/19/2022,Ballard Library ,No ,0,10,0,1-tent,N/A,Kwame completed  obstruction- verbal compliance 
Obstruction,8/19/2022,Deajon Park ,No ,0,N/A,N/A,N/A,N/A,Kwame completed  obstruction- clear self resolved 
Obstruction,8/19/2022,Navigation Center Vicinity ,No ,0,125,17,2-bedrolls,N/A,Bill completed obstrcution-verbal compliance  
8/19/2022,8/22/2022,Cascade Park (P-Patch),No ,0,200,0,0,N/A,Bill Posted and Completed Removal 
Obstruction,8/22/2022,Licton Springs ,No ,0,"1,500",0,1-abandoned 1-tent,N/A,Bill completed obstruction-verbal compliance  
Obstruction,8/22/2022,Interurban Trail ,No ,0,0,0,1-tent ,N/A,When bill got there the individual was packing-Self resolved 
Obstruction,8/22/2022,6th & Cherry ,No ,0,0,0,1-tent ,N/A,Kareem completed obstruction-verbal compliance 
Obstruction,8/22/2022,Cal Anderson ,No ,0,250,0,6-tents ,N/A,Kareem completed obstruction-voluntary compliance 
Obstruction,8/22/2022,Occidental Park ,No ,0,200,0,4-bedrolls,N/A,Kareem completed obstruction-voluntary compliance 
Obstruction,8/22/2022,Poplar Pl S from S Dearborn St to S Bush Pl Vicinity ,No ,0,375,0,1-structure ,N/A,Kareem completed obstruction-voluntary compliance 
Obstruction,8/22/2022,10th & Dearborn Ave & I-5 Vicinity ,No ,2,150,0,2-tents ,N/A,Kareem completed obstruction-voluntary compliance 
Obstruction,8/22/2022,Navigation Center Vicinity ,No ,N/A,N/A,N/A,N/A,N/A,Kwame completed  obstruction- clear self resolved 
Obstruction,8/22/2022,West Crest Park ,No ,2,100,0,2-tents ,N/A,Kareem Completed Obstruction -voluntary compliance 
Obstruction,8/22/2022,Roxhill Park ,No ,0,20,0,No-tents- 2-RV'S ,N/A,Kwame completed  obstruction- self resolved 
8/19/2022,8/23/2022,Stone Ave N & N 120th St (Puetz Golf) ,No ,0,"3,000",300,"12-Tents, 14-RV's, 16-Structures, 14-Vehicles",N/A,Bill Posted for the removal and kareem completed the removal 
8/19/2022,8/24/2022,Stone Ave N & N 120th St (Puetz Golf) ,No ,3,"109,620","1,200",?,N/A,Kareem completed removal
Obstruction,8/24/2022,96th Ave N & Aurora Ave N Vicinity (SDOT-FC-Todd),No ,0,0,0,0,N/A,Todd completed obstruction-self compliance 
Obstruction,8/24/2022,"1251 John St, Denny Substation  (SDOT-FC-Todd)",No ,0,0,0,0,N/A,Todd completed obstruction-self compliance 
Obstruction,8/24/2022,Cal Anderson  (SDOT-FC-Todd),No ,0,0,0,1-tent,N/A,Todd completed obstruction-voluntary compliance 
Obstruction,8/24/2022,Green Lake Park  (SDOT-FC-Todd),No ,0,0,0,0,N/A,Todd completed obstruction-self compliance 
Obstruction,8/24/2022,Urban Triangle Park-Westlake Ave & Lenora (SDOT-FC-Todd),No ,1,0,0,1-tent ,N/A,Todd completed obstruction-voluntary compliance 
8/23/2022,8/25/2022,7th & Findlay (RVM),No ,,"9,690 (ELMGROVE)",,,N/A,Kareem Posted and Kwame will complete removal 
8/23/2022,8/25/2022,Homewood Natural Area ,No ,0,"5,860",,,N/A,Kareem Posted for Removal and completed removal 
8/23/2022,8/26/2022,Homewood Natural Area ,No ,0,,,,N/A,"No FC for 2nd day, only Parks Crew and Contractors "
Obstruction,8/25/2022,Albert Davis Park ,No ,0,200,0,3-bedrolls,N/A,Bill completed obstrcution-verbal compliance  
Obstruction,8/25/2022,Urban Triangle Park-Westlake Ave & Lenora ,No ,N/A,N/A,N/A,0,N/A,Bill completed obstrcution-self resolved-clear 
?,8/29/2022,Carkeek Park ,No ,4,1120 ?,150,6-Tents ,N/A,
Obstruction,8/29/2022,5th & Kenyon ,No ,0,"1,500",0,1-structure and 1-vehicle ,N/A,Kwame completed  obstruction- the partially constructed structure was removed. 1-structure and 1-vehicle remains. 
Obstruction,8/29/2022,Thomas St Mini Park ,No ,0,150,0,2-tents ,N/A,Kareem Completed Obstruction -voluntary compliance 
Obstruction,8/29/2022,Cal Anderson ,No ,0,50,0,2-tents ,N/A,Kareem Completed Obstruction -voluntary compliance 
Obstruction,8/29/2022,6th & Cherry ,No ,0,10,0,1-tent ,N/A,Kareem completed obstruction-verbal compliance 
Obstruction,8/29/2022,10th & Dearborn Ave & I-5 Vicinity ,No ,0,50,0,1-tent ,N/A,Kareem Completed Obstruction -voluntary compliance 
Obstruction,8/29/2022,Kobe Terrace ,No ,N/A,N/A,N/A,N/A,N/A,Bill completed obstrcution-self resolved 
Obstruction,8/29/2022,3rd & Cherry ,No ,N/A,N/A,N/A,N/A,N/A,Bill completed obstrcution-self resolved 
Obstruction,8/29/2022,Occidental Park ,No ,N/A,N/A,N/A,N/A,N/A,Bill completed obstrcution-self resolved 
Obstruction,8/30/2022,Free Way Park ,No ,1,200,100,7-tents ,N/A,Kareem and James completed obstruction
?,8/30/2022,1500 to 2200-Utah Ave ,No ,2,"32,217.25",50,10-tents and 1-RV,N/A,Kwame completed removal 
Obstruction,8/31/2022,3rd & James ,No ,0,80,0,8-tents,N/A,Bill completed obstrcution-verbal compliance  
Obstruction,8/31/2022,3rd & Cherry ,No ,0,40,0,1-tent ,N/A,Bill completed obstrcution-verbal compliance  
Obstruction,8/31/2022,4th & Columbia ,No ,0,20,1,1-tent ,N/A,Bill completed obstrcution-verbal compliance  
Obstruction,8/31/2022,Upper Kinnear Park ,No ,0,"1,000",13,1-abandoned-tent,N/A,Bill completed obstruction/1-abandoned tent 
Obstruction,8/31/2022,Navigation Center Vicinity ,No ,0,0,0,1-tent ,N/A,Kareem Completed Obstruction -voluntary compliance 
?,8/31/2022,S Mead St from 1st Ave S to E Marginal Way S,No ,0,"12,060",100,8-tents ,N/A,Kwame completed removal 
?,9/1/2022,Ruby Chow (S. Stanley St. & S Hardy St),No ,0,"10,240",150,9-RV's ,N/A,SPU-RVM
Obstruction,9/1/2022,6th Ave & Cherry ,No,0,0,0,1-tent,N/A,Kareem  completed obstruction/voluntary compliance 
Obstruction ,9/1/2022,3rd Cherry ,No ,0,100,0,2-tents ,N/A,Kareem completed obstruction 
Obstruction,9/1/2022,Univeristy Playground ,No,1,"6,500",15,"3-tents, 2-bedrolls ",N/A,James completed obstruction 
Obstruction,9/1/2022,4th & Columbia ,No,0,0,0,1-tent ,N/A,James completed obstruction-voluntary compliance 
Obstruction,9/2/2022,115th & Meridian ,No,0,500,0,2-tents ,N/A,"Kareem completed obstructio, verbal compliance "
Obstruction,9/2/2022,Woodland Park ,No,0,50,0,1-tent,N/A,"Kareem completed obstructio, verbal compliance "
Obstruction,9/2/2022,Cal Anderson ,No,2,50,0,4-tents,N/A,"Kareem completed obstructio, verbal compliance "
Obstruction,9/2/2022,Gilman Playground ,No,0,300,0,1-tent ,N/A,"Bill completed obstruction, verbal  compliance "
Obstruction,9/2/2022,3rd & Cherry ,No,0,20,0,1-tent ,N/A,"Bill completed obstruction, self resolved "
Obstruction,9/2/2022,Occidental Park ,No,0,50,0,"1-structure, 1-bedroll ",N/A,"Bill completed obstruction, verbal compliance "
Obstruction,9/2/2022,Navigation Stairs ,No,0,300,0,N/A,N/A,When Bill arrived to obstruct it was clear of campers 300Ibs of trash collected 
Obstruction,9/2/2022,Homer Harris Park ,No,0,N/A,N/A,N/A,N/A,"When Kareem arrived to obstruct, location was clear, self-resolved "
9/2/2022,9/6/2022,8th Ave S & E Marginal Way S Vicinity (RVM),No,0,"10,580",30,1-tent and 1-structure ,N/A,Kareem assisted with Removal for RVM with Shep 
Obstruction,9/6/2022,Poplar Pl S from S Dearborn St to S Bush Pl Vicinity ,No,0,150,0,"1-tent, 1-structure ",N/A,"Kareem completed obstruction, verbal compliance "
Obstruction,9/6/2022,Greenlake Park ,No,0,25,0,1-tent ,N/A,"James completed obstruction, verbal compliance "
Obstruction,9/7/2022,Jefferson Golf ,No,1,0,0,1-tent ,N/A,Kareem Completed obstruction 
Obstruction ,9/7/2022,Denny Playfield ,No,0,N/A,N/A,N/A,N/A,Self Resolved/ Kareem completed obstruction
