Log Number ,Date of Collection,Camp Location,"Name  (None, Found in Debris-FID, Self Packed )",Description,Bike Count,Disposed after ,Target Disposal Date,Disposed (Yes/No = Delivered),
1988,5/31/2024,E John St to E Denny Wy from 13th Ave E to 12th Ave E,T1-CFH-0531,"Yun Teng Tripod stand, Dell keyboard w/cord, Dell computer monitor, Power cord adapters, Z gear battery charger, Antronix 2-way spliter component, Beoing flashlight, Google cell phone w/crack camera lins",,70 Days,8/9/2024,yes,
1989,6/3/2024,Broadway Hill Park,T1-KJ-0603,"Bike sprayed painted white, Blue grey Coleman Tent, Light, Bike Helmet",1,70 Days,8/12/2024,yes,
1990,6/3/2024,Carkeek Park,T1-SP-0603,"White Bike, New paint roller, 2 digital water, 40 hand tools, Small shovel, Tent stake, Casco folding chair",1,70 Days,8/12/2024,yes,
1991,6/3/2024,6th Ave N & Harrison St,T2-CFH-0603,"Dynacraft green riptide dirt bike missing seat, Quokka brand Planet puzzle, BTS ranch handcrafted native american art object, 2 mermaid paintings, unbrand hatchet, Rae systems secure case with interior padding, magnetic bead string, knife sharpener",1,70 Days,8/12/2024,yes,
1992,6/3/2024,6th Ave N & Harrison St,T1-CFH-0603,1992.pdf,,70 Days,8/12/2024,yes,
1993,6/4/2024,Leary Way NW from NW LearyWay to 9th Ave NW,T1-SP-0604,"Red black bag with jumper cables and hammer, Books, Screwdriver, Black yellow bag, Pair of blue Addidas socks, New sealed birthday cards, Teal toy container, Black lamp, Brown beanie dpg, Black addida backpack, HP laptop, Brown eye glass case, Red black jacket, Brown leather wallet with 3 gift cards",,70 Days,8/13/2024,yes,
1994,6/10/2024,7th Ave NE & NE 45th St,T1-SP-0610,Blue grey tent with animal ,,70 Days,8/19/2024,yes,
1995,6/13/2024,Bellevue Place Park,T1-KJ-0613,"Blue sleeping mat, Brown grey tarp, Blue black headphones, HP chromebook laptop black, Black smith helmet, Multi-colored costume, Black Calvin Klien duffel bag w/misc clothing and slippers, Black Nike duffel bag w/various personal hygiene, Red slipping bag, multi-colored blanket. ",,70 Days,8/22/2024,no,
1996,6/21/2024,Carkeek Park,T1-CFH-0621,"Black critical cycle cruser bike, missing seat.",1,70 Days,8/30/2024,yes,
1997,6/24/2024,NE Campus Pkwy from 11th Ave NE to Roosevelt Wy NE,FID,Blue Miyata two ten bike,1,70 Days,9/2/2024,yes,
1998,6/24/2024,NE Campus Pkwy from 11th Ave NE to Roosevelt Wy NE,T2-RM-0624,Black 25 amp Power on board battery charger,,70 Days,9/2/2024,yes,
1999,6/24/2024,University Playground,FID,"Black Revlon Hair Dryer, Kenlock Camera Tripod, Bath slippers in packaging, American Made beverage jar missing lid, Brown leather purse, Threshold brand blue fabric blanket, Ceramic jar",,70 Days,9/2/2024,yes,
2000,6/25/2024,Licton Springs Park,T1-CFH-0625,Brown Raliegh Brand Sprite Model Bike,1,70 Days,9/3/2024,yes,
2001,6/26/2024,Meadowbrook Playfield,[Name Withheld],2001.pdf,,70 Days,9/4/2024,yes,
2002,7/2/2024,Leary Way NW and NW Ballard Way Vicinity,T1-SP-0702,"Empty blue power Cornwell tool box, Black Scissors ",,70 Days,9/10/2024,yes,
2003,7/3/2024,Greenwood Park,[Name Withheld],2003.pdf,,70 Days,9/11/2024,yes,
2004,7/5/2024,Judkins Park,T2-RM-0705,Gray Eurmax Canopy,,70 Days,9/13/2024,yes,
2005,7/5/2024,Judkins Park,T1-RM-0705,"Green Caravan Canopy, Blue white Golden Bear tent, Blue small duffel bag with assorted shoes & pink soccer ball, FC bag with hygiene items & clothing loose in tent, 2 Black yellow bins with assorted clothing, Black plastic bag with assorted hand tools & hygiene items, Blue bin with assorted clothing.",,70 Days,9/13/2024,yes,
2006,7/5/2024,Fremont Canal Park,T1-CFH-0705,2006.pdf,,70 Days,9/13/2024,yes,
2007,7/9/2024,Cedar Park,T1-CFH-0709,"Blue embark brand folding chair, Royal Brand black sleeping bag with stain, Ozark trail zipper cot with stain, Brown tarp medium size with silver underside, Fabric deeny hall sign torn on side, Large brown tarp with silver underside torn. ",,70 Days,9/17/2024,yes,
2008,7/17/2024,Interlake Park,T3-CFH-0717,"Gold chain w/green ornamental bead, 2 WA lottery scratch tickets scratched off and played, Metal clamp, Small box ceramic tiles, Blue tarp, Small garden shovel, Orange shade & shore bag with stains, Tan pair Abercrombie & Fitch jeans, White Avenue 5 residentail baseball hat.",,70 Days,9/25/2024,yes,
2009,7/17/2024,Interlake Park,T1-CFH-0717,"Wood chair, Green osprey backpack w/stains and tears, Pink beaded bag w/stains and holes, Lands end duffel bag w/stains, Red target bag w/personal toiletries, Black eva air bag w/misc hand tools, White plastic bag w/casual clothing, Black aldo shoes. ",,70 Days,9/25/2024,yes,
